algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
sjf_aging_guarded,0.125,0,0.0,0.0007,11.061,11.061,0.0007,11.0603,1024x1024,25,25,4
sjf_aging_guarded,0.125,1,8.0108,11.0613,13.5446,5.5338,3.0505,2.4833,512x512,20,20,1
sjf_aging_guarded,0.125,2,16.0114,16.0126,20.7933,4.7819,0.0012,4.7808,768x768,20,20,1
sjf_aging_guarded,0.125,3,24.0143,24.0153,28.8073,4.7929,0.0009,4.792,768x768,20,20,1
sjf_aging_guarded,0.125,4,32.0168,32.0177,43.0693,11.0525,0.0009,11.0516,1024x1024,25,25,4
sjf_aging_guarded,0.125,5,40.0216,43.0696,54.0933,14.0717,3.048,11.0237,1024x1024,25,25,4
sjf_aging_guarded,0.125,7,56.0253,58.2805,61.1593,5.134,2.2552,2.8787,512x512,20,20,1
sjf_aging_guarded,0.125,6,48.0228,54.0935,92.4647,44.4419,6.0708,38.3712,1536x1536,35,35,7
sjf_aging_guarded,0.125,9,72.0361,92.4652,94.9523,22.9162,20.4291,2.4872,512x512,20,20,1
sjf_aging_guarded,0.125,8,64.0255,94.9527,105.9956,41.9701,30.9273,11.0428,1024x1024,25,25,4
sjf_aging_guarded,0.125,10,80.0351,105.9959,110.7788,30.7437,25.9607,4.783,768x768,20,20,1
sjf_aging_guarded,0.125,12,96.0462,110.7792,113.2622,17.2159,14.733,2.4829,512x512,20,20,1
sjf_aging_guarded,0.125,11,88.0444,113.2625,124.313,36.2685,25.218,11.0505,1024x1024,25,25,4
sjf_aging_guarded,0.125,13,104.0479,124.3134,129.0902,25.0423,20.2655,4.7768,768x768,20,20,1
sjf_aging_guarded,0.125,14,112.0479,129.0905,140.1273,28.0794,17.0426,11.0368,1024x1024,25,25,4
sjf_aging_guarded,0.125,16,128.0521,140.1276,144.902,16.8499,12.0755,4.7744,768x768,20,20,1
sjf_aging_guarded,0.125,15,120.051,144.9023,155.9471,35.8961,24.8513,11.0448,1024x1024,25,25,4
sjf_aging_guarded,0.125,17,136.057,155.9473,166.9879,30.9309,19.8903,11.0406,1024x1024,25,25,4
sjf_aging_guarded,0.125,19,152.0643,166.9881,169.4642,17.4,14.9239,2.4761,512x512,20,20,1
sjf_aging_guarded,0.125,18,144.0605,169.4646,180.5032,36.4427,25.4041,11.0386,1024x1024,25,25,4
sjf_aging_guarded,0.125,20,160.0662,180.5037,191.6908,31.6246,20.4375,11.1871,1024x1024,25,25,4
sjf_aging_guarded,0.125,22,176.0682,191.6912,196.4701,20.4019,15.6231,4.7789,768x768,20,20,1
sjf_aging_guarded,0.125,21,168.0674,196.4704,207.51,39.4425,28.403,11.0396,1024x1024,25,25,4
sjf_aging_guarded,0.125,23,184.0704,207.5104,212.2838,28.2134,23.44,4.7734,768x768,20,20,1
sjf_aging_guarded,0.125,25,200.0769,212.2842,217.0564,16.9795,12.2073,4.7722,768x768,20,20,1
sjf_aging_guarded,0.125,26,208.3577,217.0568,219.5381,11.1804,8.6991,2.4813,512x512,20,20,1
sjf_aging_guarded,0.125,27,216.0892,223.735,226.6174,10.5281,7.6458,2.8823,512x512,20,20,1
sjf_aging_guarded,0.125,24,192.6017,219.5384,257.9368,65.3351,26.9367,38.3984,1536x1536,35,35,5
sjf_aging_guarded,0.125,28,224.0927,257.9374,268.9854,44.8928,33.8447,11.0481,1024x1024,25,25,4
sjf_aging_guarded,0.125,29,232.0956,268.9857,280.0256,47.93,36.8901,11.0399,1024x1024,25,25,4
sjf_aging_guarded,0.125,30,240.1011,280.026,291.0706,50.9695,39.9248,11.0446,1024x1024,25,25,4
sjf_aging_guarded,0.125,31,248.1181,291.0709,302.1159,53.9978,42.9528,11.045,1024x1024,25,25,3
sjf_aging_guarded,0.125,34,272.1251,302.1163,306.8923,34.7672,29.9912,4.776,768x768,20,20,1
sjf_aging_guarded,0.125,32,256.1171,306.8928,317.9448,61.8278,50.7757,11.052,1024x1024,25,25,2
sjf_aging_guarded,0.125,35,280.1412,317.9453,328.9927,48.8514,37.8041,11.0474,1024x1024,25,25,4
sjf_aging_guarded,0.125,36,288.1349,328.9929,340.169,52.0341,40.858,11.1761,1024x1024,25,25,4
sjf_aging_guarded,0.125,33,264.1206,341.8057,377.9054,113.7849,77.6851,36.0997,1536x1536,35,35,2
sjf_aging_guarded,0.125,37,296.1374,340.1695,387.1817,91.0443,44.0322,47.0121,1024x1024,25,25,2
sjf_aging_guarded,0.125,38,304.1386,387.1824,423.1246,118.986,83.0438,35.9422,1536x1536,35,35,2
sjf_aging_guarded,0.125,39,312.1455,423.1251,434.1864,122.0409,110.9797,11.0613,1024x1024,25,25,2
sjf_aging_guarded,0.125,40,320.1482,434.1871,445.247,125.0988,114.0388,11.06,1024x1024,25,25,2
sjf_aging_guarded,0.125,41,328.1585,445.2474,447.7322,119.5737,117.0889,2.4847,512x512,20,20,1
sjf_aging_guarded,0.125,42,336.1604,447.733,452.5053,116.3449,111.5726,4.7723,768x768,20,20,1
sjf_aging_guarded,0.125,43,344.1635,452.506,457.2812,113.1176,108.3425,4.7752,768x768,20,20,1
sjf_aging_guarded,0.125,44,352.1711,457.2817,459.7894,107.6183,105.1106,2.5076,512x512,20,20,1
sjf_aging_guarded,0.125,45,360.1758,459.7901,464.5668,104.3911,99.6144,4.7767,768x768,20,20,1
sjf_aging_guarded,0.125,46,368.1871,464.5675,467.0508,98.8638,96.3805,2.4832,512x512,20,20,1
sjf_aging_guarded,0.125,47,376.1957,467.0518,471.8296,95.6339,90.8561,4.7778,768x768,20,20,1
sjf_aging_guarded,0.125,48,384.1955,471.8299,482.8615,98.6661,87.6345,11.0316,1024x1024,25,25,2
sjf_aging_guarded,0.125,49,392.1984,482.8622,487.6324,95.434,90.6638,4.7702,768x768,20,20,1
sjf_aging_guarded,0.125,50,400.2049,487.6329,492.4193,92.2144,87.4281,4.7863,768x768,20,20,1
sjf_aging_guarded,0.125,51,408.2145,492.4199,497.2047,88.9902,84.2053,4.7849,768x768,20,20,1
sjf_aging_guarded,0.125,52,416.2262,497.2053,501.9967,85.7705,80.9791,4.7914,768x768,20,20,1
sjf_aging_guarded,0.125,53,424.6681,503.6345,539.698,115.0299,78.9664,36.0635,1536x1536,35,35,2
sjf_aging_guarded,0.125,54,432.2374,501.9974,548.9604,116.723,69.76,46.963,1024x1024,25,25,2
sjf_aging_guarded,0.125,55,440.2399,548.9611,560.0092,119.7693,108.7212,11.0481,1024x1024,25,25,2
sjf_aging_guarded,0.125,56,448.2409,560.0098,564.7812,116.5404,111.7689,4.7715,768x768,20,20,1
sjf_aging_guarded,0.125,57,456.2423,564.7816,575.8249,119.5826,108.5393,11.0432,1024x1024,25,25,2
sjf_aging_guarded,0.125,58,464.2478,575.8254,580.5983,116.3504,111.5776,4.7729,768x768,20,20,1
sjf_aging_guarded,0.125,59,472.2468,580.5989,585.3832,113.1364,108.3521,4.7843,768x768,20,20,1
sjf_aging_guarded,0.125,60,480.2494,585.3837,621.2957,141.0463,105.1344,35.912,1536x1536,35,35,2
sjf_aging_guarded,0.125,61,488.2532,621.2962,632.3518,144.0986,133.043,11.0556,1024x1024,25,25,2
sjf_aging_guarded,0.125,62,496.257,632.3526,643.3954,147.1385,136.0956,11.0429,1024x1024,25,25,2
sjf_aging_guarded,0.125,63,504.2569,643.3961,654.4371,150.1802,139.1392,11.041,1024x1024,25,25,2
sjf_aging_guarded,0.125,64,512.2671,654.4381,665.5381,153.271,142.171,11.1,1024x1024,25,25,2
sjf_aging_guarded,0.125,65,520.2743,665.5391,676.5787,156.3044,145.2648,11.0396,1024x1024,25,25,2
sjf_aging_guarded,0.125,66,528.295,676.5793,681.3545,153.0595,148.2843,4.7752,768x768,20,20,1
sjf_aging_guarded,0.125,67,536.2953,681.3552,683.8382,147.5429,145.0598,2.4831,512x512,20,20,1
sjf_aging_guarded,0.125,68,544.2993,683.8387,688.6126,144.3133,139.5394,4.7739,768x768,20,20,1
sjf_aging_guarded,0.125,69,552.3034,688.6134,693.389,141.0857,136.3101,4.7756,768x768,20,20,1
sjf_aging_guarded,0.125,70,560.7799,693.3894,698.1658,137.3858,132.6095,4.7763,768x768,20,20,1
sjf_aging_guarded,0.125,71,568.31,698.1667,734.0512,165.7412,129.8566,35.8845,1536x1536,35,35,2
sjf_aging_guarded,0.125,72,576.7242,734.0518,769.957,193.2328,157.3276,35.9051,1536x1536,35,35,2
sjf_aging_guarded,0.125,73,584.3189,769.9579,774.7353,190.4164,185.639,4.7774,768x768,20,20,1
sjf_aging_guarded,0.125,74,592.3201,774.7365,785.7771,193.457,182.4164,11.0406,1024x1024,25,25,2
sjf_aging_guarded,0.125,75,600.3291,785.7777,790.5571,190.228,185.4486,4.7794,768x768,20,20,1
sjf_aging_guarded,0.125,76,608.338,790.5582,826.5056,218.1676,182.2202,35.9474,1536x1536,35,35,2
sjf_aging_guarded,0.125,77,616.3466,826.5061,837.5597,221.2131,210.1595,11.0537,1024x1024,25,25,2
sjf_aging_guarded,0.125,78,624.3426,837.5601,842.3374,217.9948,213.2174,4.7774,768x768,20,20,1
sjf_aging_guarded,0.125,79,632.3564,842.3384,847.121,214.7647,209.9821,4.7826,768x768,20,20,1
sjf_aging_guarded,0.125,80,640.3537,847.1216,858.1585,217.8049,206.7679,11.037,1024x1024,25,25,2
sjf_aging_guarded,0.125,81,648.3607,858.1593,862.9389,214.5782,209.7986,4.7796,768x768,20,20,1
sjf_aging_guarded,0.125,82,656.3635,862.9395,873.9797,217.6162,206.5759,11.0402,1024x1024,25,25,2
sjf_aging_guarded,0.125,83,664.3697,873.9801,909.8996,245.5299,209.6104,35.9195,1536x1536,35,35,2
sjf_aging_guarded,0.125,84,672.3728,909.9003,914.6765,242.3037,237.5275,4.7762,768x768,20,20,1
sjf_aging_guarded,0.125,85,680.3746,914.6771,919.4605,239.086,234.3026,4.7834,768x768,20,20,1
sjf_aging_guarded,0.125,86,688.3784,919.461,955.3689,266.9906,231.0826,35.908,1536x1536,35,35,2
sjf_aging_guarded,0.125,87,696.3813,955.3695,966.4119,270.0305,258.9882,11.0423,1024x1024,25,25,2
sjf_aging_guarded,0.125,88,704.3832,966.4124,968.8921,264.509,262.0293,2.4797,512x512,20,20,1
sjf_aging_guarded,0.125,89,712.3917,968.8928,971.3968,259.0051,256.501,2.504,512x512,20,20,1
sjf_aging_guarded,0.125,90,720.3992,971.3973,973.8801,253.4808,250.998,2.4828,512x512,20,20,1
sjf_aging_guarded,0.125,91,728.4103,973.8805,984.9284,256.5182,245.4703,11.0479,1024x1024,25,25,2
sjf_aging_guarded,0.125,92,736.4101,984.929,995.9645,259.5544,248.5189,11.0354,1024x1024,25,25,2
sjf_aging_guarded,0.125,93,744.4155,995.965,1007.0163,262.6008,251.5495,11.0513,1024x1024,25,25,2
sjf_aging_guarded,0.125,94,752.4194,1007.0168,1009.5024,257.083,254.5974,2.4856,512x512,20,20,1
sjf_aging_guarded,0.125,95,760.4609,1009.5027,1014.2846,253.8237,249.0418,4.782,768x768,20,20,1
sjf_aging_guarded,0.125,96,768.4372,1014.2851,1050.2253,281.7882,245.8479,35.9402,1536x1536,35,35,2
sjf_aging_guarded,0.125,97,776.4375,1050.2257,1061.2819,284.8444,273.7882,11.0562,1024x1024,25,25,2
sjf_aging_guarded,0.125,98,784.4455,1061.2822,1097.1998,312.7543,276.8367,35.9175,1536x1536,35,35,2
sjf_aging_guarded,0.125,99,792.4442,1097.2001,1133.1505,340.7063,304.7559,35.9504,1536x1536,35,35,2
